as_name,Count
Netinternet Bilisim Teknolojileri AS,9
UNIFIQUE TELECOMUNICACOES S/A,9
FIRST SERVER LIMITED,9
Orbi Group 10 LTD,8
DGN TEKNOLOJI A.S.,8
Bangladesh Research and Education Network (BdREN),8
SmarTone Mobile Communications Ltd,8
"Eastern Telecoms Phils., Inc.",8
CS LOXINFO PUBLIC COMPANY LIMITED,8
OCTOPUS WEB SOLUTION INC,8
Converge ICT Solutions Inc.,8
NhanHoa Software company,8
Pars Parva System LLC,8
CS LOXINFO Public Company Limited.,8
VIET DIGITAL TECHNOLOGY LIABILITY COMPANY,8
JSC Kazakhtelecom,8
"Atria Convergence Technologies Ltd.,",8
C2M SERVICOS DE INFORMATICA E TELECOMUNICACOES,7
NAV COMMUNICATIONS SRL,7
Foreningen for digitala fri- och rattigheter,7
HeiLongJiang Mobile Communication Company Limited,7
Vodafone Hungary Ltd.,7
CHINANET NINGXIA province ZHONGWEI IDC network,7
Global-Data System IT Corporation,7
Yunify Technologies Inc.,7
Hostodo,7
Branch of Long Van System Solution JSC - Hanoi,7
Yandex.Cloud LLC,7
Long Van Soft Solution JSC,7
Univision LLC,7
"Parsian Technology Innovative Solution Co., PJS.",7
"Mega Cable, S.A. de C.V.",7
Kirino LLC,7
"Interserver, Inc",7
FlokiNET ehf,7
HOSTKEY B.V.,7
"Net Uno, C.A.",7
Sri Lanka Telecom Internet,7
VODAFONE ESPANA S.A.U.,7
A1 Hrvatska d.o.o.,7
"""Domain names registrar REG.RU"", Ltd",7
Tata Teleservices Maharashtra Ltd,7
Desktop Sigmanet Comunicação Multimídia SA,7
GIG@NET SOCIEDAD ANONIMA,7
Bredband2 AB,7
Swisscom (Schweiz) AG,7
CtrlS,7
FASTNET DATA INC,7
"The Constant Company, LLC",7
SBN-ISP/AWN-ISP and SBN-NIX/AWN-NIX,7
Videotron Ltee,7
Sony Network Communications Inc.,7
HEXATOM s.a.r.l.,6
"Beijing Kingsoft Cloud Internet Technology Co., Ltd",6
Universitas PGRI Semarang,6
Telecom Armenia OJSC,6
Google Fiber Inc.,6
Universidad Nacional Autonoma de Mexico,6
Iran Cell Service and Communication Company,6
