asn,Count
AS142036,3
AS5408,3
AS18001,3
AS62904,3
AS209155,3
AS212860,3
AS213035,3
AS9952,3
AS34534,3
AS45528,3
AS214209,3
AS1547,3
AS6300,3
AS8881,3
AS27947,3
AS45905,3
AS136188,3
AS4775,3
AS9443,3
AS9988,3
AS12660,3
AS16135,3
AS28006,3
AS29314,3
AS31034,3
AS31549,3
AS49581,3
AS54825,3
AS57494,3
AS63526,3
AS131596,3
AS137697,3
AS200590,3
AS211056,3
AS979,3
AS2514,3
AS7633,3
AS18002,3
AS20860,3
AS24961,3
AS35104,3
AS38794,3
AS56309,3
AS63199,3
AS133676,3
AS200845,3
AS208677,3
AS210218,3
AS3549,3
AS5607,3
AS6697,3
AS6878,3
AS16116,3
AS16814,3
AS21928,3
AS27983,3
AS33363,3
AS38482,3
AS54290,3
AS206495,3
AS216127,3
AS4515,3
AS4755,3
AS14051,3
AS41704,3
AS135357,3
AS23889,3
AS35807,3
AS59441,3
AS63473,3
AS140641,3
AS205275,3
AS21599,3
AS133380,3
AS12849,3
AS136970,3
AS214922,3
AS16019,3
AS20676,3
AS36992,3
AS10220,2
AS11888,2
AS19182,2
AS20278,2
AS27847,2
AS33771,2
AS37002,2
AS43847,2
AS44820,2
AS48479,2
AS52594,2
AS55639,2
AS64079,2
AS132787,2
AS136873,2
AS139811,2
AS140171,2
AS141126,2
AS153362,2
AS207083,2
AS262415,2
AS265786,2
AS266114,2
AS812,2
AS15964,2
AS19180,2
AS23563,2
AS23923,2
AS27715,2
AS38712,2
AS47887,2
AS132625,2
AS134945,2
AS135801,2
AS138995,2
AS139959,2
AS201295,2
AS205138,2
AS9924,2
AS15962,2
AS17853,2
AS34984,2
AS35179,2
AS47242,2
AS58543,2
AS131392,2
AS136798,2
AS137335,2
AS150884,2
AS200514,2
AS263186,2
AS266354,2
AS7162,2
AS11556,2
AS25198,2
AS34974,2
AS41007,2
AS208972,2
AS216248,2
AS262958,2
AS327931,2
AS328200,2
AS2116,2
AS9905,2
AS14576,2
AS24547,2
AS28670,2
AS35251,2
AS36926,2
AS61751,2
AS133199,2
AS134366,2
AS153371,2
AS211138,2
AS269846,2
AS1955,2
AS3790,2
AS9927,2
AS17439,2
AS17465,2
AS25515,2
AS33885,2
AS38071,2
